State,Month,Day_of_Week,Time_of_Day,Weather_Conditions,Road_Conditions,Light_Conditions,Type_of_Road,Death By Road Type,Type_of_Junction,Type_of_Accident,Vehicle_Type,Death By Vehicle Type,Driver_Age_Group,Num_Vehicles_Involved,Category_Of_Num_Vehicles,Total_Death_Crashes_By_Category,Num_Casualties,Speed_Limit,Distance_to_Nearest_Hospital,Distance_to_Nearest_Police_Station,Visibility,Road_Width,Road_Surface_Friction_Coefficient,Vehicle_Speed,Time_Taken_for_Emergency_Response,Speeding_Violation,Speeding_Factor,Hospital_Distance_Range,Population,"Deaths per 100,000 population",Deaths Due To Alcohol Involvement,Percentage Of Seat Belt Usage,Deaths With Seat Belt,Deaths Without Seat Belt
Virginia,1,Friday,17:05:07,Stormy,Wet,Daylight,Urban,494,T-Junction,Run-off-road,Pedestrian,173,Adult,2,Multiple-vehicle,429,3.0,63.0,0.744973149,4.787285158,749.1029911,6.19129347,0.299703353,46.0,19.47295205,False,0.7301587301587301,0-3 km,8683619,11.6,414,76,280,379
Virginia,1,Monday,16:17:35,Sunny,Snowy,Daylight,Street,3,Intersection,Run-off-road,Car,383,Senior,4,Multiple-vehicle,429,3.0,41.0,5.710198662,7.499710036,939.7785858,6.340029166,0.294799604,93.0,7.732035105,True,2.268292682926829,3-6 km,8683619,11.6,414,76,280,379
Massachusetts,1,Thursday,21:13:26,Rainy,Snowy,Night,Urban,400,Roundabout,Cyclist involved,Truck,3,Adult,4,Multiple-vehicle,168,0.0,56.0,7.634362356,5.848434004,421.8355777,4.007757982,0.220725917,59.0,7.11783845,True,1.0535714285714286,6-10 km,6981974,6.2,204,77,96,137
Oregon,1,Wednesday,11:50:00,Rainy,Snowy,Daylight,Rural,322,Underpass,Pedestrian involved,Truck,7,Senior,3,Multiple-vehicle,265,0.0,54.0,0.784161065,2.761068853,100.2245141,7.991223336,0.743848332,14.0,17.04057624,False,0.2592592592592592,0-3 km,4240137,14.2,210,97,193,110
Maryland,1,Saturday,17:22:39,Snowy,Dry,Daylight,Highway,7,T-Junction,Head-on collision,Car,211,Young Adult,4,Multiple-vehicle,274,1.0,32.0,4.606221858,9.375864153,185.2084712,5.31164844,0.692832035,81.0,17.04057624,True,2.53125,3-6 km,6164660,9.1,208,93,154,150
Oklahoma,2,Sunday,03:55:31,Rainy,Snowy,Night,Rural,422,Intersection,Side collision,Truck,17,Teenager,2,Multiple-vehicle,349,0.0,32.0,2.4121665,8.348235266,442.1685539,5.244133618,0.45490155,35.0,15.37611502,True,1.09375,0-3 km,4019800,17.7,304,80,193,223
Washington,2,Wednesday,21:13:35,Stormy,Icy,Night,Rural,293,Roundabout,Head-on collision,Truck,12,Senior,1,Single-vehicle,391,0.0,65.0,9.889019744,5.626284147,481.7791569,4.350053548,0.672397603,96.0,15.37611502,True,1.476923076923077,6-10 km,7785786,9.4,240,94,212,156
Michigan,1,Saturday,04:53:31,Sunny,Wet,Night,Urban,690,Overpass,Rear-end collision,Bicycle,36,Senior,3,Multiple-vehicle,546,1.0,34.0,3.542378223,8.316053389,519.2064674,4.208671784,0.85447988,96.0,24.30627963,False,2.823529411764706,3-6 km,10034113,11.2,180,93,333,233
Hawaii,2,Wednesday,14:02:57,Stormy,Dry,Daylight,Freeway,1,T-Junction,Rear-end collision,Truck,1,Teenager,4,Multiple-vehicle,50,0.0,49.0,0.272101432,8.366847827,770.9881075,8.492669783,0.14162435,42.0,24.63987339,False,0.8571428571428571,0-3 km,1440196,8.1,28,96,24,16
Hawaii,2,Wednesday,18:48:27,Foggy,Snowy,Dusk,Street,1,Overpass,Run-off-road,Truck,1,Young Adult,1,Single-vehicle,66,3.0,50.0,9.832039344,9.580048467,646.1486781,5.390867105,0.341721217,26.0,24.19227822,False,0.52,6-10 km,1440196,8.1,28,96,24,16
Pennsylvania,2,Sunday,22:19:59,Rainy,Dry,Night,Street,3,Overpass,Rollover,Motorcycle,217,Senior,4,Multiple-vehicle,575,1.0,66.0,6.228136522,6.474652399,454.9192152,7.291070514,0.864737589,75.0,27.05538586,False,1.1363636363636365,6-10 km,12972008,9.1,320,90,263,342
North Dakota,1,Monday,20:46:19,Snowy,Wet,Night,Street,0,Intersection,Side collision,Truck,4,Teenager,5,Multiple-vehicle,55,2.0,38.0,3.752509307,1.529643483,909.4712261,7.291070514,0.215665485,89.0,11.05863654,True,2.3421052631578947,3-6 km,779261,12.6,41,81,13,41
Vermont,1,Friday,12:23:46,Snowy,Icy,Daylight,Urban,12,Crossroads,Pedestrian involved,Car,26,Young Adult,4,Multiple-vehicle,33,0.0,55.0,0.321298675,1.903566756,117.4603744,6.747459357,0.102365066,28.0,11.93773843,False,0.509090909090909,0-3 km,647064,11.7,31,90,18,27
Pennsylvania,1,Monday,17:47:17,Rainy,Wet,Daylight,Urban,689,Crossroads,Pedestrian involved,Bicycle,15,Teenager,1,Single-vehicle,604,3.0,59.0,9.024791104,8.902090487,309.5520356,9.919238037,0.849075419,48.0,18.0504543,False,0.8135593220338984,6-10 km,12972008,9.1,320,90,263,342
North Dakota,2,Monday,11:33:26,Foggy,Muddy,Daylight,Urban,16,Underpass,Head-on collision,Motorcycle,21,Adult,1,Single-vehicle,43,3.0,38.0,5.035242339,7.628254987,552.4545891,8.027025552,0.858910375,47.0,14.73657085,True,1.236842105263158,3-6 km,779261,12.6,41,81,13,41
Alabama,1,Saturday,00:25:06,Foggy,Snowy,Night,Highway,1,Crossroads,Pedestrian involved,Pedestrian,114,Adult,5,Multiple-vehicle,457,1.0,38.0,8.343000542,0.181102264,978.1631305,6.345784236,0.499677863,6.0,9.547206209,False,0.1578947368421052,6-10 km,5074296,19.5,344,93,283,364
Pennsylvania,1,Thursday,07:11:43,Sunny,Icy,Daylight,Freeway,3,T-Junction,Cyclist involved,Motorcycle,217,Young Adult,4,Multiple-vehicle,575,2.0,55.0,0.661521783,6.461166695,542.3253302,6.345784236,0.607198628,54.0,29.58403095,False,0.9818181818181818,0-3 km,12972008,9.1,320,90,263,342
South Carolina,1,Monday,02:43:19,Stormy,Muddy,Night,Urban,479,Overpass,Rollover,Pedestrian,172,Teenager,5,Multiple-vehicle,491,3.0,31.0,9.401987414,0.675343115,153.1693019,6.345784236,0.917439076,57.0,19.75142736,True,1.8387096774193548,6-10 km,5282634,20.7,441,91,284,380
Delaware,2,Wednesday,20:28:44,Rainy,Muddy,Night,Rural,81,Crossroads,Side collision,Truck,1,Young Adult,4,Multiple-vehicle,95,3.0,31.0,9.71373295,3.326693558,852.4646502,6.345784236,0.957390859,69.0,5.572418003,False,2.225806451612903,6-10 km,1018396,15.9,46,90,61,36
Alabama,1,Tuesday,21:07:59,Rainy,Muddy,Night,Highway,1,Underpass,Side collision,Motorcycle,97,Young Adult,2,Multiple-vehicle,457,0.0,51.0,0.401942381,9.724503772,838.9350164,9.68814868,0.823282378,94.0,20.07559129,True,1.843137254901961,0-3 km,5074296,19.5,344,93,283,364
Vermont,2,Monday,12:18:28,Rainy,Icy,Daylight,Rural,64,Overpass,Run-off-road,Bicycle,1,Teenager,5,Multiple-vehicle,33,3.0,51.0,0.154230502,0.38036458,855.0147946,6.853010764,0.495597945,51.0,23.90289008,False,1.0,0-3 km,647064,11.7,31,90,18,27
Michigan,1,Thursday,16:26:48,Snowy,Wet,Daylight,Rural,425,Roundabout,Pedestrian involved,Pedestrian,169,Adult,1,Single-vehicle,578,0.0,62.0,0.574031676,8.651974813,371.4810624,5.563260676,0.300514951,52.0,27.14676261,False,0.8387096774193549,0-3 km,10034113,11.2,180,93,333,233
Idaho,1,Saturday,22:41:03,Snowy,Icy,Night,Street,0,Overpass,Run-off-road,Motorcycle,27,Adult,1,Single-vehicle,113,0.0,62.0,0.321836268,4.141244487,389.0674252,3.509089832,0.342834629,34.0,9.736509478,False,0.5483870967741935,0-3 km,1939033,11.1,80,88,54,84
Alabama,2,Wednesday,07:31:53,Rainy,Icy,Daylight,Highway,1,T-Junction,Head-on collision,Pedestrian,114,Teenager,1,Single-vehicle,531,3.0,50.0,7.679588158,1.839575416,602.6066241,9.310504694,0.830842201,27.0,29.11278544,False,0.54,6-10 km,5074296,19.5,344,93,283,364
North Carolina,1,Monday,13:53:00,Snowy,Dry,Daylight,Street,0,T-Junction,Head-on collision,Bicycle,18,Adult,5,Multiple-vehicle,753,0.0,43.0,8.361803599,2.825502456,237.0636003,5.703086077,0.699626584,42.0,10.0337006,False,0.9767441860465116,6-10 km,10698973,15.2,384,91,530,512
Texas,1,Monday,19:02:40,Sunny,Snowy,Night,Urban,2,Intersection,Head-on collision,Truck,117,Young Adult,1,Single-vehicle,2,0.0,62.0,1.543865124,3.042354087,198.5481025,5.180403291,0.285355633,65.0,14.14867342,True,1.0483870967741935,0-3 km,30029572,14.7,1,90,1,1
Mississippi,2,Monday,20:23:26,Snowy,Wet,Night,Street,28,Overpass,Pedestrian involved,Truck,14,Teenager,4,Multiple-vehicle,308,1.0,61.0,1.635400193,2.015206625,772.5010541,5.107377285,0.69278255,65.0,25.9014472,False,1.0655737704918034,0-3 km,2940057,23.9,17,79,227,200
Maryland,2,Sunday,13:09:09,Stormy,Wet,Daylight,Freeway,7,Overpass,Side collision,Truck,6,Young Adult,2,Multiple-vehicle,274,2.0,70.0,3.855290364,0.323982935,665.9053783,7.841394862,0.810209331,32.0,27.54120162,False,0.4571428571428571,3-6 km,6164660,9.1,208,93,154,150
New York,1,Friday,09:33:32,Rainy,Muddy,Daylight,Rural,278,Underpass,Rollover,Car,327,Adult,3,Multiple-vehicle,487,3.0,44.0,9.993868904,4.793661996,630.3232975,3.597974271,0.907813413,37.0,14.66226545,False,0.8409090909090909,6-10 km,19677151,6.0,282,92,324,203
Tennessee,2,Tuesday,04:14:25,Rainy,Snowy,Night,Rural,535,Underpass,Cyclist involved,Bicycle,15,Adult,5,Multiple-vehicle,604,2.0,31.0,9.807155113,4.964410087,332.6461934,9.322678194,0.858819855,12.0,10.87527458,False,0.3870967741935484,6-10 km,7051339,18.6,446,91,378,438
Illinois,2,Friday,21:37:22,Rainy,Icy,Night,Rural,388,Underpass,Run-off-road,Motorcycle,151,Adult,3,Multiple-vehicle,647,1.0,35.0,4.750368661,6.9386919,474.1586565,5.895875885,0.710084366,25.0,29.56505296,False,0.7142857142857143,3-6 km,12582032,10.1,367,93,339,276
Wyoming,2,Friday,11:20:22,Rainy,Muddy,Daylight,Urban,19,Underpass,Rollover,Bicycle,1,Adult,5,Multiple-vehicle,50,2.0,35.0,8.966918936,4.809082323,929.7346546,5.895875885,0.212072666,99.0,11.4686789,False,2.8285714285714287,6-10 km,581381,23.0,42,78,26,61
Kansas,2,Wednesday,01:36:30,Rainy,Snowy,Night,Rural,245,T-Junction,Rear-end collision,Motorcycle,53,Adult,3,Multiple-vehicle,190,0.0,48.0,7.492188169,0.866288174,471.5788584,8.703938469,0.458832735,84.0,10.36988588,True,1.75,6-10 km,2937150,14.0,116,87,114,148
Alabama,2,Friday,20:51:34,Stormy,Dry,Night,Urban,438,Roundabout,Run-off-road,Truck,30,Adult,2,Multiple-vehicle,457,1.0,31.0,1.679856475,2.476781554,990.2356369,4.761643202,0.805751778,80.0,17.2638699,True,2.5806451612903225,0-3 km,5074296,19.5,344,93,283,364
Vermont,2,Saturday,21:22:55,Stormy,Icy,Night,Freeway,0,Crossroads,Rollover,Truck,5,Adult,5,Multiple-vehicle,33,0.0,50.0,9.244880727,4.209904635,251.167875,3.357858919,0.533076871,40.0,8.71949287,False,0.8,6-10 km,647064,11.7,31,90,18,27
Illinois,1,Wednesday,02:42:29,Stormy,Icy,Night,Freeway,8,Overpass,Rollover,Car,474,Young Adult,2,Multiple-vehicle,647,3.0,30.0,9.435822565,8.041520719,593.9388732,4.27665612,0.290188511,79.0,21.67595233,True,2.6333333333333333,6-10 km,12582032,10.1,367,93,339,276
Georgia,2,Friday,08:41:36,Rainy,Icy,Daylight,Urban,1,Intersection,Cyclist involved,Bicycle,29,Senior,5,Multiple-vehicle,787,3.0,46.0,2.803089601,5.265011763,738.1195189,4.27665612,0.340335343,79.0,25.85150471,False,1.7173913043478262,0-3 km,10912876,16.5,466,89,461,527
Idaho,1,Sunday,10:03:55,Snowy,Icy,Daylight,Rural,164,T-Junction,Rear-end collision,Car,68,Teenager,5,Multiple-vehicle,102,0.0,69.0,6.442620165,8.683575649,382.6696931,4.515363558,0.758580929,27.0,21.26715311,False,0.391304347826087,6-10 km,1939033,11.1,80,88,54,84
Rhode Island,1,Saturday,05:17:21,Sunny,Icy,Dawn,Highway,1,Crossroads,Head-on collision,Truck,1,Adult,4,Multiple-vehicle,15,3.0,42.0,1.415679888,5.088121757,524.1352026,4.224953012,0.704372253,27.0,9.251549362,False,0.6428571428571429,0-3 km,1093734,4.8,22,87,14,19
Utah,1,Tuesday,19:32:50,Sunny,Dry,Night,Highway,0,Overpass,Rollover,Motorcycle,50,Senior,3,Multiple-vehicle,139,3.0,60.0,3.871667372,7.841900537,250.400053,3.597372863,0.632797887,41.0,19.81881876,False,0.6833333333333333,3-6 km,3380800,9.4,117,90,80,87
Vermont,1,Monday,01:49:50,Snowy,Dry,Night,Rural,64,Overpass,Side collision,Motorcycle,14,Teenager,5,Multiple-vehicle,33,1.0,41.0,7.532231211,6.504543501,376.4933847,3.673778677,0.775570714,64.0,29.54224822,True,1.5609756097560976,6-10 km,647064,11.7,31,90,18,27
Oklahoma,1,Saturday,18:22:14,Foggy,Muddy,Dusk,Highway,0,Intersection,Head-on collision,Pedestrian,96,Senior,3,Multiple-vehicle,349,0.0,62.0,0.267259281,5.321430286,813.795725,5.782578305,0.209174698,75.0,29.02378347,True,1.2096774193548387,0-3 km,4019800,17.7,304,80,193,223
Ohio,1,Tuesday,03:37:09,Snowy,Icy,Night,Street,8,Roundabout,Side collision,Car,459,Young Adult,4,Multiple-vehicle,638,0.0,40.0,5.46951889,6.294090203,365.6913529,5.344953057,0.810481545,30.0,11.50213433,False,0.75,3-6 km,11756058,10.8,539,81,307,402
North Dakota,2,Tuesday,02:42:02,Snowy,Wet,Night,Freeway,0,T-Junction,Run-off-road,Motorcycle,21,Adult,3,Multiple-vehicle,55,3.0,36.0,2.130274294,2.717115963,932.8355056,9.469344294,0.194490155,30.0,21.44648827,False,0.8333333333333334,0-3 km,779261,12.6,41,81,13,41
Louisiana,1,Wednesday,17:25:20,Snowy,Wet,Daylight,Freeway,14,Crossroads,Run-off-road,Motorcycle,91,Senior,3,Multiple-vehicle,391,2.0,36.0,0.227460157,3.113760966,960.1408309,7.851274599,0.114706188,82.0,5.690750497,False,2.2777777777777777,0-3 km,4590241,19.7,362,86,205,282
Delaware,1,Sunday,06:30:10,Rainy,Muddy,Daylight,Street,0,Crossroads,Side collision,Bicycle,6,Young Adult,4,Multiple-vehicle,95,2.0,50.0,5.254716831,2.134203401,673.8134532,7.347205307,0.299138921,53.0,18.1660716,True,1.06,3-6 km,1018396,15.9,46,90,61,36
Illinois,1,Friday,13:34:24,Sunny,Wet,Daylight,Urban,872,Overpass,Side collision,Car,474,Young Adult,5,Multiple-vehicle,647,3.0,45.0,8.642851125,5.657193952,119.654011,8.193181166,0.800885784,4.0,28.97780452,False,0.0888888888888888,6-10 km,12582032,10.1,367,93,339,276
New Mexico,1,Saturday,10:42:24,Sunny,Snowy,Daylight,Highway,0,Intersection,Pedestrian involved,Truck,16,Senior,1,Single-vehicle,256,1.0,57.0,3.211783636,6.298785382,126.9385223,6.04244959,0.496297211,6.0,25.29618305,False,0.1052631578947368,3-6 km,2113344,22.1,150,90,119,148
Tennessee,2,Friday,02:03:09,Rainy,Icy,Night,Street,0,Underpass,Side collision,Car,469,Young Adult,5,Multiple-vehicle,604,2.0,48.0,8.524155699,2.826780391,781.5932455,8.421633388,0.302812379,88.0,18.62152945,True,1.8333333333333333,6-10 km,7051339,18.6,446,91,378,438
Maryland,1,Wednesday,16:04:03,Snowy,Muddy,Daylight,Freeway,7,Underpass,Side collision,Truck,6,Young Adult,2,Multiple-vehicle,274,2.0,33.0,9.015982443,6.863294418,652.7230289,4.938821882,0.746770559,63.0,9.02239356,True,1.9090909090909087,6-10 km,6164660,9.1,208,93,154,150
Colorado,1,Sunday,20:41:46,Snowy,Snowy,Night,Freeway,2,Crossroads,Head-on collision,Car,224,Teenager,3,Multiple-vehicle,367,0.0,56.0,6.83464679,3.326822221,185.7941009,6.96964734,0.889768874,86.0,9.02239356,True,1.5357142857142858,6-10 km,5839926,13.1,288,87,225,235
Washington,1,Tuesday,00:42:56,Sunny,Snowy,Night,Freeway,6,Underpass,Cyclist involved,Motorcycle,133,Adult,4,Multiple-vehicle,342,3.0,61.0,6.464519275,3.432617528,359.3800146,6.423600162,0.888248331,17.0,9.556708684,False,0.2786885245901639,6-10 km,7785786,9.4,240,94,212,156
Indiana,2,Tuesday,02:12:10,Rainy,Muddy,Night,Street,1,Crossroads,Cyclist involved,Bicycle,16,Adult,3,Multiple-vehicle,483,1.0,48.0,7.187264482,3.980562524,116.6086749,6.689583726,0.957457464,23.0,25.34115095,False,0.4791666666666667,6-10 km,6833037,13.9,127,93,261,232
Idaho,1,Saturday,22:26:09,Snowy,Wet,Night,Rural,164,Underpass,Rollover,Bicycle,4,Teenager,4,Multiple-vehicle,102,1.0,65.0,8.544481393,7.940191685,412.8326283,7.53346246,0.686542796,75.0,22.18413163,True,1.1538461538461535,6-10 km,1939033,11.1,80,88,54,84
Nebraska,1,Friday,08:24:46,Sunny,Snowy,Daylight,Street,0,Crossroads,Head-on collision,Pedestrian,23,Young Adult,4,Multiple-vehicle,151,3.0,59.0,7.776471875,6.299920768,188.4053326,7.53346246,0.228510594,81.0,15.91642287,True,1.3728813559322033,6-10 km,1967923,12.4,106,76,62,86
Missouri,2,Sunday,17:07:14,Sunny,Snowy,Daylight,Freeway,3,Underpass,Head-on collision,Motorcycle,157,Adult,3,Multiple-vehicle,495,0.0,60.0,6.233011672,1.411082124,972.2056498,4.0338385,0.913297211,18.0,23.00025338,False,0.3,6-10 km,6177957,17.1,396,89,245,369
South Carolina,2,Tuesday,23:15:00,Rainy,Muddy,Night,Freeway,0,Overpass,Side collision,Truck,13,Teenager,1,Single-vehicle,603,0.0,65.0,7.651869126,6.176742074,505.210749,8.144027047,0.568911159,41.0,9.392671364,False,0.6307692307692307,6-10 km,5282634,20.7,441,91,284,380
Vermont,1,Monday,09:45:18,Foggy,Snowy,Daylight,Rural,64,T-Junction,Run-off-road,Truck,5,Adult,4,Multiple-vehicle,33,3.0,56.0,5.160183573,1.103875786,992.7274241,6.572175094,0.964274234,67.0,29.87734336,True,1.1964285714285714,3-6 km,647064,11.7,31,90,18,27
Oklahoma,1,Sunday,04:09:59,Foggy,Dry,Night,Urban,288,T-Junction,Rear-end collision,Motorcycle,93,Teenager,3,Multiple-vehicle,349,2.0,69.0,6.049157193,7.747099448,517.2966302,8.00748401,0.328718157,61.0,23.68967012,False,0.8840579710144928,6-10 km,4019800,17.7,304,80,193,223
Massachusetts,2,Wednesday,06:08:21,Foggy,Dry,Daylight,Rural,30,Overpass,Run-off-road,Motorcycle,57,Adult,4,Multiple-vehicle,168,0.0,55.0,6.595483344,4.098255513,754.9402329,8.00748401,0.799118084,66.0,29.03112191,True,1.2,6-10 km,6981974,6.2,204,77,96,137
Utah,1,Thursday,03:51:04,Snowy,Wet,Night,Urban,206,Crossroads,Cyclist involved,Truck,8,Senior,5,Multiple-vehicle,139,0.0,44.0,9.629241338,0.550930981,350.5007275,7.843117257,0.759786261,36.0,9.99880144,False,0.8181818181818182,6-10 km,3380800,9.4,117,90,80,87
Colorado,2,Monday,20:20:06,Stormy,Dry,Night,Urban,463,T-Junction,Pedestrian involved,Motorcycle,149,Senior,5,Multiple-vehicle,367,1.0,65.0,2.825265717,6.093163086,404.1701531,5.432994875,0.501422534,62.0,13.47357431,False,0.953846153846154,0-3 km,5839926,13.1,288,87,225,235
Michigan,2,Tuesday,03:32:48,Snowy,Snowy,Night,Highway,9,Crossroads,Rear-end collision,Pedestrian,169,Adult,5,Multiple-vehicle,546,2.0,30.0,7.966414661,1.881080565,510.9512378,4.043413287,0.568128739,7.0,12.52699052,False,0.2333333333333333,6-10 km,10034113,11.2,180,93,333,233
Maryland,1,Wednesday,16:27:27,Foggy,Wet,Daylight,Rural,31,T-Junction,Pedestrian involved,Motorcycle,77,Teenager,2,Multiple-vehicle,274,0.0,59.0,5.817939521,0.635826531,231.2315074,5.998699826,0.14767233,51.0,23.14628681,False,0.864406779661017,3-6 km,6164660,9.1,208,93,154,150
Idaho,1,Saturday,08:31:05,Rainy,Wet,Daylight,Freeway,0,Intersection,Rear-end collision,Motorcycle,27,Teenager,1,Single-vehicle,113,1.0,32.0,9.347619067,5.39349004,450.8280559,5.31560094,0.763194583,7.0,14.77129433,False,0.21875,6-10 km,1939033,11.1,80,88,54,84
Nevada,1,Wednesday,06:09:08,Rainy,Wet,Daylight,Highway,0,Overpass,Rear-end collision,Car,116,Teenager,4,Multiple-vehicle,181,0.0,59.0,6.010958363,7.872237441,892.7208736,9.329544864,0.756147199,63.0,20.44267653,True,1.0677966101694916,6-10 km,3177772,13.1,110,93,87,84
Connecticut,2,Wednesday,09:57:41,Snowy,Muddy,Daylight,Urban,313,Overpass,Rear-end collision,Motorcycle,67,Senior,4,Multiple-vehicle,170,0.0,69.0,6.794113341,3.939790769,881.4633843,4.537490831,0.694500556,25.0,15.44555018,False,0.3623188405797101,6-10 km,3626205,9.9,141,92,83,76
New Hampshire,1,Wednesday,15:17:48,Rainy,Snowy,Daylight,Highway,0,Roundabout,Side collision,Bicycle,3,Teenager,2,Multiple-vehicle,64,0.0,67.0,3.56699122,1.093175583,742.4997483,4.537490831,0.634040423,93.0,29.87629572,True,1.388059701492537,3-6 km,1395231,10.5,66,77,26,55
Connecticut,1,Tuesday,12:47:36,Snowy,Muddy,Daylight,Rural,42,Crossroads,Rear-end collision,Motorcycle,67,Senior,3,Multiple-vehicle,170,3.0,55.0,5.029080263,0.121170714,487.6106398,3.417693917,0.560085285,40.0,13.47706413,False,0.7272727272727273,3-6 km,3626205,9.9,141,92,83,76
North Carolina,2,Wednesday,05:21:01,Snowy,Muddy,Dawn,Street,0,Underpass,Rear-end collision,Car,649,Young Adult,5,Multiple-vehicle,753,1.0,41.0,4.556959299,3.40100799,303.5882177,8.098752293,0.21309342,3.0,18.21011241,False,0.073170731707317,3-6 km,10698973,15.2,384,91,530,512
Utah,1,Friday,08:57:31,Snowy,Wet,Daylight,Highway,0,T-Junction,Cyclist involved,Pedestrian,45,Senior,3,Multiple-vehicle,139,1.0,66.0,9.95441365,9.017333272,752.7660738,7.949707397,0.732367161,3.0,25.27908234,False,0.0454545454545454,6-10 km,3380800,9.4,117,90,80,87
Rhode Island,1,Sunday,18:00:58,Rainy,Muddy,Dusk,Rural,13,Roundabout,Side collision,Bicycle,0,Teenager,1,Single-vehicle,37,0.0,41.0,7.901959492,6.087180089,432.5106875,7.106728652,0.149275229,72.0,25.27908234,True,1.7560975609756098,6-10 km,1093734,4.8,22,87,14,19
Massachusetts,2,Saturday,11:28:03,Snowy,Dry,Daylight,Street,4,Roundabout,Side collision,Bicycle,9,Adult,4,Multiple-vehicle,168,2.0,69.0,0.511550886,3.353443721,231.2118625,9.144018697,0.218228136,48.0,24.95249537,False,0.6956521739130435,0-3 km,6981974,6.2,204,77,96,137
Colorado,1,Wednesday,10:27:18,Rainy,Muddy,Daylight,Freeway,2,Crossroads,Head-on collision,Car,224,Adult,5,Multiple-vehicle,367,2.0,41.0,3.067167983,1.974424089,556.8205105,8.881009692,0.979880589,28.0,7.979558394,False,0.6829268292682927,3-6 km,5839926,13.1,288,87,225,235
Indiana,1,Friday,15:32:24,Stormy,Wet,Daylight,Freeway,1,T-Junction,Pedestrian involved,Car,376,Adult,5,Multiple-vehicle,483,2.0,63.0,3.210505805,5.027640457,946.2900905,9.462936281,0.649830373,37.0,17.73265916,False,0.5873015873015873,3-6 km,6833037,13.9,127,93,261,232
Texas,1,Tuesday,16:20:35,Foggy,Snowy,Daylight,Urban,2,Crossroads,Cyclist involved,Motorcycle,564,Senior,3,Multiple-vehicle,2,3.0,63.0,3.217252247,7.231125624,842.3818009,4.943145497,0.288599054,79.0,17.73265916,False,1.253968253968254,3-6 km,30029572,14.7,1,90,1,1
Michigan,2,Monday,15:49:45,Foggy,Wet,Daylight,Urban,690,Intersection,Cyclist involved,Bicycle,36,Adult,5,Multiple-vehicle,546,3.0,63.0,7.242575671,6.282520713,757.8394432,8.78643443,0.646729027,10.0,5.258812256,False,0.1587301587301587,6-10 km,10034113,11.2,180,93,333,233
Mississippi,1,Wednesday,13:50:24,Sunny,Dry,Daylight,Street,28,Underpass,Head-on collision,Car,282,Young Adult,5,Multiple-vehicle,308,0.0,34.0,5.714605944,9.841709735,283.3416383,4.126621604,0.726406805,11.0,12.86141223,False,0.3235294117647059,3-6 km,2940057,23.9,17,79,227,200
New Mexico,2,Monday,23:17:18,Snowy,Snowy,Night,Street,0,Underpass,Side collision,Pedestrian,93,Adult,4,Multiple-vehicle,210,3.0,47.0,2.757840325,9.584119856,421.3313747,8.53049661,0.589379621,53.0,17.72185495,True,1.127659574468085,0-3 km,2113344,22.1,150,90,119,148
Nevada,2,Friday,07:37:32,Rainy,Snowy,Daylight,Urban,291,Crossroads,Rear-end collision,Car,116,Teenager,3,Multiple-vehicle,181,0.0,69.0,7.779277734,5.718081209,425.292216,8.53049661,0.399493152,94.0,17.00418443,True,1.3623188405797102,6-10 km,3177772,13.1,110,93,87,84
Mississippi,2,Wednesday,04:35:20,Sunny,Icy,Night,Street,28,Crossroads,Head-on collision,Bicycle,17,Adult,1,Single-vehicle,395,0.0,31.0,9.02784041,1.611604464,697.7210874,6.108796036,0.482419666,94.0,9.668793323,False,3.032258064516129,6-10 km,2940057,23.9,17,79,227,200
New Hampshire,2,Friday,20:56:00,Sunny,Wet,Night,Freeway,0,T-Junction,Cyclist involved,Motorcycle,32,Teenager,3,Multiple-vehicle,64,3.0,70.0,0.491808986,2.986163512,194.3043743,3.834849254,0.60614911,88.0,23.27885491,True,1.2571428571428571,0-3 km,1395231,10.5,66,77,26,55
Missouri,2,Sunday,06:34:22,Sunny,Snowy,Daylight,Street,3,Intersection,Run-off-road,Truck,32,Senior,5,Multiple-vehicle,495,3.0,43.0,2.499997741,3.411179995,286.5746409,3.834849254,0.967178963,21.0,20.1786115,False,0.4883720930232558,0-3 km,6177957,17.1,396,89,245,369
Kentucky,1,Thursday,03:39:34,Sunny,Muddy,Night,Rural,487,Intersection,Run-off-road,Car,264,Senior,2,Multiple-vehicle,336,0.0,55.0,8.419670544,9.561547943,120.7815976,7.249355685,0.484933751,26.0,5.296758759,False,0.4727272727272727,6-10 km,4512310,16.5,275,87,230,256
Utah,1,Wednesday,20:55:10,Foggy,Muddy,Night,Rural,113,Underpass,Rollover,Car,106,Senior,5,Multiple-vehicle,139,3.0,57.0,1.577161579,8.063423115,766.7135739,6.318988689,0.164019008,26.0,20.87680136,False,0.4561403508771929,0-3 km,3380800,9.4,117,90,80,87
New Hampshire,2,Thursday,18:42:59,Rainy,Snowy,Dusk,Rural,77,Underpass,Run-off-road,Pedestrian,16,Senior,5,Multiple-vehicle,64,2.0,57.0,6.57920109,5.934059845,680.0297315,3.363452445,0.42759745,26.0,10.63219507,False,0.4561403508771929,6-10 km,1395231,10.5,66,77,26,55
North Dakota,1,Saturday,04:04:32,Rainy,Icy,Night,Freeway,0,Roundabout,Cyclist involved,Motorcycle,21,Senior,4,Multiple-vehicle,55,2.0,32.0,8.578630329,2.397700684,813.5514606,3.363452445,0.872354938,42.0,11.37423436,True,1.3125,6-10 km,779261,12.6,41,81,13,41
